source,sourceID,scientificName,year,latitude,longitude
OBIS,f6011dad-0727-4af5-86f7-314905258e14,Codium fragile subsp. fragile,2009,41.62221527,-70.26498413
GBIF,2005082537,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.62307,-71.412728
GBIF,2005082514,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.62307,-71.412728
MHP,8113,Codium fragile subsp. tomentosoides,2003,41.62307,-71.412728
MHP,8123,Codium fragile subsp. tomentosoides,2000,41.62307,-71.412728
OBIS,f6b86938-1850-43d9-96f7-1cc060192c2e,Codium fragile subsp. fragile,2010,41.62416077,-70.36529541
GBIF,2005082576,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.635667,-70.224464
GBIF,2005082521,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.635667,-70.224464
GBIF,2005082471,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.635667,-70.224464
MHP,8093,Codium fragile subsp. tomentosoides,2000,41.635667,-70.224464
MHP,8094,Codium fragile subsp. tomentosoides,2000,41.635667,-70.224464
MHP,8095,Codium fragile subsp. tomentosoides,2000,41.635667,-70.224464
MHP,978536,Codium fragile subsp. tomentosoides,1965,41.636119,-70.345108
MHP,1061191,Codium fragile subsp. fragile,2018,41.639233,-70.91299
GBIF,2005087253,Codium fragile subsp. fragile,2010,41.640382,-70.91476
GBIF,2005087190,Codium fragile subsp. fragile,2010,41.640382,-70.91476
MHP,995301,Codium fragile subsp. fragile,2010,41.640382,-70.91476
MHP,995310,Codium fragile subsp. fragile,2010,41.640382,-70.91476
GBIF,2005082511,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.649356,-70.194415
GBIF,2005082501,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.649356,-70.194415
MHP,8099,Codium fragile subsp. tomentosoides,2000,41.649356,-70.194415
MHP,8100,Codium fragile subsp. tomentosoides,2000,41.649356,-70.194415
GBIF,2005082568,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.663915,-69.987187
GBIF,2005082563,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.663915,-69.987187
