codium_fragile,latitude,longitude
codium_fragile,41.526497,-70.673084
codium_fragile,41.526497,-70.673084
codium_fragile,41.526667,-70.67
codium_fragile,41.526667,-70.67
codium_fragile,41.542147,-70.608327
codium_fragile,41.542147,-70.608327
codium_fragile,41.542248,-70.614752
codium_fragile,41.549,-70.65453
codium_fragile,41.549956,-70.607371
codium_fragile,41.549956,-70.607371
codium_fragile,41.549956,-70.607371
codium_fragile,41.549956,-70.607371
codium_fragile,41.55,-70.655
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.56497,-70.654028
codium_fragile,41.570613,-70.648259
codium_fragile,41.570613,-70.648259
codium_fragile,41.595206,-71.354056
codium_fragile,41.595206,-71.354056
codium_fragile,41.600038,-70.644775
codium_fragile,41.604274,-70.634475
codium_fragile,41.606667,-70.65
codium_fragile,41.60684,-70.65127
codium_fragile,41.6071,-70.65102
codium_fragile,41.60749054,-70.40155029
codium_fragile,41.60749054,-70.40155029
codium_fragile,41.60749054,-70.40155029
codium_fragile,41.60749054,-70.40155029
codium_fragile,41.616777,-70.43697
codium_fragile,41.616777,-70.43697
codium_fragile,41.6207428,-71.40931702
codium_fragile,41.6207428,-71.40931702
codium_fragile,41.62131119,-71.41132355
codium_fragile,41.62131119,-71.41132355
codium_fragile,41.62131119,-71.41132355
codium_fragile,41.62131119,-71.41132355
codium_fragile,41.62191391,-70.39533234
codium_fragile,41.62191391,-70.39533234
codium_fragile,41.62191391,-70.39533234
codium_fragile,41.62191391,-70.39533234
codium_fragile,41.62221527,-70.26498413
codium_fragile,41.62221527,-70.26498413
codium_fragile,41.62221527,-70.26498413
codium_fragile,41.62307,-71.412728
codium_fragile,41.62307,-71.412728
codium_fragile,41.62307,-71.412728
codium_fragile,41.62307,-71.412728
codium_fragile,41.62416077,-70.36529541
codium_fragile,41.635667,-70.224464
codium_fragile,41.635667,-70.224464
codium_fragile,41.635667,-70.224464
codium_fragile,41.635667,-70.224464
codium_fragile,41.635667,-70.224464
codium_fragile,41.635667,-70.224464
codium_fragile,41.636119,-70.345108
codium_fragile,41.639233,-70.91299
codium_fragile,41.640382,-70.91476
codium_fragile,41.640382,-70.91476
codium_fragile,41.640382,-70.91476
codium_fragile,41.640382,-70.91476
codium_fragile,41.649356,-70.194415
codium_fragile,41.649356,-70.194415
codium_fragile,41.649356,-70.194415
codium_fragile,41.649356,-70.194415
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.663915,-69.987187
codium_fragile,41.666637,-70.065766
codium_fragile,41.666637,-70.065766
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
codium_fragile,41.676949,-69.979369
